NODE_ID,NODE_LABEL,NODE_TYPE,IS_ENTRY,PROMPT_TEXT,AUDIO_URL,QUEUE_ID,QUEUE_NAME,OPT_0_NEXT_NODE,OPT_1_NEXT_NODE,OPT_2_NEXT_NODE,OPT_3_NEXT_NODE,OPT_4_NEXT_NODE,OPT_5_NEXT_NODE,OPT_6_NEXT_NODE,OPT_7_NEXT_NODE,OPT_8_NEXT_NODE,OPT_9_NEXT_NODE
Global_SparePartsMobileOpen,Autoservicio Piezas y Repuestos,MENU,NO,"El mejor lugar para informarse sobre las piezas de repuesto es la web de IKEA.Para recibir un enlace a esa página de nuestra web mediante un SMS, pulsa 1. Para hablar con uno de nuestros colaboradores, pulsa 2.",,,,Global_SMSSent,ES_Voice_Res_General,,,,,,,,
Menu_ES_SalesOptions,Contacto Agente Sales,MENU,NO,"Si quieres información de horarios, disponibilidad de artículos, citas de planification, promociones y servicios, pulsa 1. Para comprar mobiliario de cocina, baño y electrodomésticos, pulsa 2. Para comprar mobiliario de salon, dormitorio u otros, pulsa 3. Si quieres volver a escuchar estas opciones, pulsa asterisco. Para volver al menú principal, pulsa almohadilla.",,,,ES_Voice_Sales_General,ES_Voice_Sales_Kitchen,ES_Voice_Sales_Sales,,,,,,,
ES_Voice_Sales_Kitchen,Cola pedidos Sales Kitchen,QUEUE,NO,Te vamos a pasar con un agente especializado ventas cocinas.,,ES_Voice_Sales_Kitchen,Sales Kitchen,,,,,,,,,,
ES_Voice_Sales_Sales,Cola pedidos Sales Home,QUEUE,NO,Te vamos a pasar con un agente especializado ventas hogar.,,ES_Voice_Sales_Sales,Sales Home,,,,,,,,,,
ES_Voice_Sales_General,Cola pedidos Sales General,QUEUE,NO,Te vamos a pasar con un agente especializado teleperformance.,,ES_Voice_Sales_General,Sales General,,,,,,,,,,
Menu_ES_ResolutionOpen,Opciones Resolution,MENU,NO,"Si quieres gestionarlo tú mismo, pulsa 1.  Para hablar con un agente, pulsa 2. Si quieres volver a escuchar estas opciones, pulsa asterisco. Para volver al menú principal, pulsa almohadilla.",,,,Menu_Autoservicio_Resolution,Menu_ES_ResolutionOptions,,,,,,,," "
Menu_Autoservicio_Resolution,Autoservicio Resolution,MENU,NO,"Para realizar el seguimiento de tu pedido, pulsa 1.
Para realizar una devolución, pulsa 2.
Para solicitar piezas y tornillería , pulsa 3.
Para volver al menú principal, pulsa #",,,,Global_MenuOrderManMobileOpen,Global_MenuReturnsMobileOpen,Global_SparePartsMobileOpen,,,,,,,
Global_MenuOrderManMobileOpen,Autoservicio Order Management,MENU,NO,"Para obtener actualizaciones y realizar cambios en un pedido, incluida la información de entrega, utiliza la web de IKEA. Para recibir un enlace a esa página de nuestra web, mediante un SMS, pulsa 1. De lo contrario, si ya has probado nuestras opciones de autoservicio, pulsa 2.",,,,Global_SMSSent,ES_Voice_Res_Delivery,,,,,,,,
Global_MenuReturnsMobileOpen,Autoservicio Devoluciones,MENU,NO,"El mejor lugar para informarse sobre las devoluciones de productos es la web de IKEA. Para recibir un enlace a esa página de nuestra web, mediante un SMS, pulsa 1. Para hablar con uno de nuestros colaboradores, pulsa 2.",,,,Global_SMSSent,ES_Voice_Res_Delivery,,,,,,,,
Menu_ES_ResolutionOptions,Contacto Agente Resolution,MENU,NO,"Si tu consulta está relacionada con muebles de cocina, electrodomésticos o su instalación, pulsa 1. Si necesitas apoyo con la entrega de tu pedido o con el servicio de montaje, pulsa 2. Para cualquier otra gestión relacionada con tu compra, pulsa 3.",,,,ES_Voice_Res_Kitchen,ES_Voice_Res_Delivery,ES_Voice_Res_General,,,,,,,
ES_Voice_Res_Kitchen,Cola Resolution Kitchen,QUEUE,NO,Te vamos a pasar con un agente especializado para que te ayude.,,ES_Voice_Res_Kitchen,Resolution Kitchen,,,,,,,,,,
ES_Voice_Res_Delivery,Cola Resolution Delivery,QUEUE,NO,Te vamos a pasar con un agente especializado para que te ayude.,,ES_Voice_Res_Delivery,Resolution Delivery,,,,,,,,,,
ES_Voice_Res_Montaje,Cola Resolution Montaje,QUEUE,NO,Te vamos a pasar con un agente especializado para que te ayude.,,ES_Voice_Res_Montaje,Resolution Montaje,,,,,,,,,,
ES_Voice_Res_General,Cola Resolution General,QUEUE,NO,Te vamos a pasar con un agente especializado para que te ayude.,,ES_Voice_Res_General,Resolution General,,,,,,,,,,
Global_TransferToCoWorkerDelivery,Transferencia a Delivery,QUEUE,NO,Voy a transferirte a uno de nuestros colaboradores para que te ayude.,,ES_Voice_Res_Delivery,Resolution Delivery,,,,,,,,,,
Global_TransferToCoWorkerSalesGen,Transferencia a Sales General,QUEUE,NO,Voy a transferirte a uno de nuestros colaboradores para que te ayude.,,ES_Voice_Sales_General,Sales General,,,,,,,,,,
Global_TransferToCoWorkerResGen,Transferencia a Resolution General,QUEUE,NO,Voy a transferirte a uno de nuestros colaboradores para que te ayude.,,ES_Voice_Res_General,Resolution General,,,,,,,,,,
Global_SMSSent,Envio SMS autoservicio,SMS,NO,"Te acabamos de enviar un mensaje de texto, comprueba tu teléfono móvil. Gracias por llamar a IKEA. Hasta pronto.",,,,,,,,,,,,,







