NODE_ID,NODE_LABEL,NODE_TYPE,IS_ENTRY,PROMPT_TEXT,AUDIO_URL,QUEUE_ID,QUEUE_NAME,OPT_0_NEXT_NODE,OPT_1_NEXT_NODE,OPT_2_NEXT_NODE,OPT_3_NEXT_NODE,OPT_4_NEXT_NODE,OPT_5_NEXT_NODE,OPT_6_NEXT_NODE,OPT_7_NEXT_NODE,OPT_8_NEXT_NODE,OPT_9_NEXT_NODE
ROOT,Menú principal,MENU,YES,"Bienvenido a IKEA. A continuación te presentamos tres opciones para poder ayudarte mejor. Si eres empresa, profesional o autónomo, pulsa 1. Si quieres ayuda después de la compra, pulsa 2. Si quieres realizar una compra o información para comprar, pulsa 3. Puedes volver a este menú en cualquier momento pulsando la almohadilla.",,,,Global_EnterAccountNumber,Menu_ES_ResolutionOpen,Menu_ES_SalesOpen,,,,,,,
Global_EnterAccountNumber,Filtrado clientes B2B,ACCOUNT,NO,"Esta línea es exclusiva para empresas y autónomos. Introduce tu CIF o NIF y pulsa asterisco para continuar. Si eres un particular, pulsa solamente almohadilla para ir al menú principal.",,,,Global_Menu_B2B,,,,,,,,,
Global_Menu_B2B,Menú B2B,MENU,NO,"Bienvenido al servicio de IKEA para Empresas. Si  quieres comprar con un agente pulsa 1. Si has realizado una compra y necesitas ayuda, pulsa 2. Para volver a escuchar este menú, pulsa asterisco. Para volver al menú principal, pulsa almohadilla.",,,,ES_Voice_Sales_Business,ES_Voice_Res_Business,,,,,,,,
ES_Voice_Sales_Business,Cola pedidos Venta B2B,QUEUE,NO,Te vamos a pasar con un agente especializado venta business.,,ES_Voice_Sales_Business,Ventas B2B,,,,,,,,,,
ES_Voice_Res_Business,Cola pedidos Resolution B2B,QUEUE,NO,Te vamos a pasar con un agente especializado postventa business.,,ES_Voice_Res_Business,Resolution B2B,,,,,,,,,,
Menu_ES_SalesOpen,Autoservicio Sales,MENU,NO,"Si quieres gestionarlo tú mismo, pulsa 1.  Para comprar con un agente, pulsa 2. Si quieres volver a escuchar estas opciones, pulsa asterisco. Para volver al menú principal, pulsa almohadilla.",,,,Menu_Autoservicio_Sales,Menu_ES_SalesOptions,,,,,,,," "
Menu_Autoservicio_Sales,Autoservicio Sales,MENU,NO,"Si quieres saber la disponibilidad de un artículo , pulsa 1
Para reservar tu mismo una cita de planificación, pulsa 2 
Para solicitar piezas y tornillería , pulsa 3.
Para volver al menú principal, pulsa #",,,,Global_MenuStockMain,Global_MenuPlanAppMobileOpen,Global_SparePartsMobileOpen,,,,,,,
Global_MenuStockMain,Autoservicio Stock,MENU,NO,"Ayúdanos a entender tus necesidades seleccionando una de las siguientes opciones. Si deseas saber si hay existencias de un artículo concreto en alguna de nuestras tiendas, pulsa 1.Si ya has consultado en línea, pero no hay existencias y deseas saber cuándo estará disponible la próxima vez, Pulsa 2. O si sabes que el producto que quieres no está disponible y buscas una alternativa, pulsa 3.",,,,Global_SMSSent,ES_Voice_Sales_General,ES_Voice_Sales_General,,,,,,,
Global_MenuNoStock,Autoservicio Stock SMS,MENU,NO,"Para recibir información cuando volvamos a tener stock en nuestra web, a través de un SMS, pulsa 1. De lo contrario, para hablar con uno de nuestros colaboradores, pulsa 2. ",,,,Global_SMSSent,ES_Voice_Sales_General,,,,,,,,
Global_MenuPlanAppMobileOpen,Autoservicio Planificación,MENU,NO,"El lugar más fácil para solicitar una cita de planificación es la página web de IKEA. Para recibir un enlace a esa página en nuestra web, mediante un SMS, pulsa 1. Para hablar con uno de nuestros colaboradores, pulsa 2.",,,,Global_SMSSent,ES_Voice_Sales_General,,,,,,,,
